0.000336011 0.000788162,0.000131555 1.00079,1.00013 1.00099, ,0.0289609 10.0236,4.02876 9.98318,1.94809 2.00378, ,0.00627869 -0.0105083,4.00626 0.00323208,1.99596 2.99634, ,0.027486 -0.0104129,-0.036038 9.98939,4.99562 5.02125, ,1.00157 0.999534,5.99978 7.00102,2.00097 2.99983, ,-1.00508 -3.00941,-4.02198 -4.98382,0.0289132 0.981941, ,1.03303 2.97623,-4.06035 -4.96464,0.00966942 0.988085, ,
-0.0242087 0.012001,-0.0265741 1.012,0.973423 1.01436, ,0.466125 10.3318,4.42083 9.73157,1.24303 2.12226, ,0.117563 -0.179603,4.11168 0.037247,1.95198 2.92441, ,0.197016 -0.1014,-0.37619 9.88216,4.90219 5.17698, ,0.985913 1.02713,6.03871 6.98274,2.00354 3.01822, ,-1.01225 -3.01804,-4.06974 -4.929,0.104889 0.950836, ,1.07668 2.94504,-4.12749 -4.92367,0.0255531 0.971426, ,
-0.0248096 0.0122402,-0.0274064 1.01224,0.97259 1.01483, ,0.475289 10.3377,4.42854 9.72789,1.23238 2.12628, ,0.121935 -0.186045,4.11562 0.0386895,1.95022 2.92158, ,0.194088 -0.102081,-0.380652 9.88139,4.89845 5.17702, ,0.984183 1.02909,6.04122 6.9811,2.00323 3.01946, ,-1.01233 -3.01804,-4.07052 -4.92789,0.10625 0.950431, ,1.07732 2.94443,-4.12879 -4.92299,0.0257109 0.971079, ,
-0.0253918 0.0124679,-0.0282204 1.01246,0.971776 1.01529, ,0.484193 10.3434,4.43602 9.72441,1.22222 2.13024, ,0.126315 -0.192463,4.11955 0.0401414,1.94848 2.91876, ,0.190562 -0.102595,-0.384549 9.88085,4.89473 5.17668, ,0.982448 1.03106,6.04373 6.97946,2.00291 3.0207, ,-1.0124 -3.01802,-4.07124 -4.92683,0.107528 0.950067, ,1.07792 2.94385,-4.13003 -4.92236,0.0258464 0.970746, ,
-0.025957 0.0126848,-0.0290168 1.01268,0.970979 1.01574, ,0.492852 10.3489,4.44328 9.72112,1.21253 2.13414, ,0.130688 -0.198821,4.12346 0.0415644,1.94678 2.91595, ,0.186444 -0.102942,-0.38789 9.88055,4.89102 5.17597, ,0.980711 1.03303,6.04624 6.97781,2.00259 3.02194, ,-1.01246 -3.01799,-4.0719 -4.92583,0.108725 0.949744, ,1.07847 2.9433,-4.13121 -4.92176,0.0259605 0.970428, ,
-0.0265066 0.0128915,-0.0297964 1.01289,0.970198 1.01618, ,0.501276 10.3543,4.45035 9.718,1.20328 2.13798, ,0.134965 -0.205006,4.12728 0.042835,1.94524 2.91315, ,0.181738 -0.103133,-0.39068 9.88047,4.88733 5.17488, ,0.978969 1.03501,6.04875 6.97617,2.00227 3.02319, ,-1.01252 -3.01795,-4.07252 -4.92488,0.109845 0.94946, ,1.07897 2.94278,-4.13234 -4.92121,0.0260536 0.970124, ,
-0.0270425 0.0130889,-0.0305604 1.01308,0.969433 1.0166, ,0.509477 10.3595,4.45722 9.71504,1.19446 2.14178, ,0.139083 -0.210934,4.13096 0.0439155,1.94388 2.9104, ,0.176675 -0.103245,-0.393074 9.88051,4.88368 5.17351, ,0.977226 1.03701,6.05126 6.97453,2.00195 3.02445, ,-1.01256 -3.01788,-4.07309 -4.92398,0.110889 0.949214, ,1.07942 2.94229,-4.13341 -4.92069,0.0261265 0.969834, ,
-0.0275661 0.0132776,-0.0313095 1.01327,0.968683 1.01701, ,0.517466 10.3646,4.46392 9.71225,1.18604 2.14552, ,0.143054 -0.216608,4.1345 0.044821,1.94271 2.90769, ,0.171656 -0.103381,-0.395413 9.88053,4.88008 5.17211, ,0.975479 1.03901,6.05377 6.9729,2.00163 3.02572, ,-1.0126 -3.01781,-4.07361 -4.92312,0.11186 0.949004, ,1.07984 2.94182,-4.13443 -4.92021,0.0261796 0.969557, ,
-0.0280785 0.0134584,-0.0320446 1.01345,0.967948 1.01742, ,0.525249 10.3695,4.47044 9.70962,1.178 2.1492, ,0.146889 -0.222044,4.13793 0.0455564,1.94171 2.90504, ,0.16702 -0.103632,-0.398027 9.88039,4.87651 5.1709, ,0.973718 1.04104,6.05628 6.97126,2.0013 3.02701, ,-1.01263 -3.01772,-4.07409 -4.92231,0.112756 0.948829, ,1.08021 2.94137,-4.1354 -4.91976,0.0262139 0.969292, ,
-0.0285801 0.0136317,-0.0327659 1.01362,0.967225 1.01781, ,0.532832 10.3744,4.47679 9.70714,1.17035 2.15284, ,0.150603 -0.227258,4.14125 0.0461234,1.94089 2.90242, ,0.16304 -0.104069,-0.401183 9.88,4.87296 5.17008, ,0.971929 1.04311,6.05881 6.96962,2.00096 3.02832, ,-1.01267 -3.01762,-4.07453 -4.92155,0.113571 0.948691, ,1.08054 2.94095,-4.13633 -4.91935,0.0262305 0.96904, ,
-0.0290709 0.0137979,-0.0334735 1.01379,0.966517 1.01819, ,0.540219 10.3791,4.48298 9.7048,1.16306 2.15642, ,0.154208 -0.232267,4.14448 0.0465177,1.94026 2.89983, ,0.159894 -0.10474,-0.405053 9.87929,4.86944 5.16975, ,0.970087 1.04522,6.06138 6.96795,2.00059 3.02967, ,-1.0127 -3.0175,-4.07493 -4.92085,0.114301 0.948592, ,1.08084 2.94055,-4.13721 -4.91897,0.0262304 0.968798, ,
-0.0295509 0.0139571,-0.0341673 1.01395,0.965822 1.01856, ,0.547411 10.3837,4.48901 9.70261,1.15612 2.15994, ,0.157717 -0.23708,4.14764 0.0467281,1.93982 2.89726, ,0.157563 -0.105636,-0.409626 9.87827,4.86592 5.16991, ,0.968155 1.04741,6.06399 6.96623,2.00019 3.03107, ,-1.01272 -3.01736,-4.07528 -4.9202,0.114947 0.948535, ,1.0811 2.94017,-4.13805 -4.91862,0.0262144 0.968567, ,
-0.0300196 0.0141097,-0.034847 1.0141,0.965141 1.01893, ,0.554414 10.3881,4.49488 9.70057,1.14953 2.16342, ,0.161135 -0.241692,4.15072 0.0467323,1.93961 2.89471, ,0.155887 -0.106714,-0.414758 9.87699,4.86242 5.17046, ,0.966078 1.04971,6.06669 6.96442,1.99971 3.03254, ,-1.01274 -3.01722,-4.07557 -4.9196,0.115511 0.948517, ,1.08132 2.93981,-4.13885 -4.91829,0.0261835 0.968347, ,
-0.0304771 0.0142558,-0.0355126 1.01424,0.964475 1.01928, ,0.561229 10.3925,4.5006 9.69867,1.14329 2.16684, ,0.16446 -0.246081,4.15375 0.0464863,1.93968 2.89217, ,0.154735 -0.107936,-0.420332 9.87552,4.85893 5.17132, ,0.963775 1.05218,6.06954 6.96244,1.99914 3.03411, ,-1.01275 -3.01705,-4.07583 -4.91905,0.115999 0.948537, ,1.08152 2.93948,-4.1396 -4.918,0.0261382 0.968136, ,
-0.0309231 0.0143956,-0.036164 1.01438,0.963822 1.01962, ,0.567861 10.3967,4.50617 9.6969,1.13736 2.1702, ,0.167676 -0.2502,4.1567 0.0459134,1.9401 2.88963, ,0.154001 -0.109271,-0.426251 9.87388,4.85545 5.17243, ,0.961137 1.0549,6.07263 6.96021,1.99842 3.03582, ,-1.01276 -3.01688,-4.07603 -4.91855,0.116416 0.948592, ,1.08168 2.93916,-4.14032 -4.91773,0.0260792 0.967935, ,
-0.0313578 0.0145294,-0.0368011 1.01451,0.963184 1.01996, ,0.574316 10.4009,4.51159 9.69527,1.13176 2.17352, ,0.170745 -0.253956,4.15957 0.0448838,1.94103 2.88708, ,0.153591 -0.110694,-0.432433 9.87212,4.85199 5.17373, ,0.958033 1.05797,6.07606 6.95761,1.99751 3.03774, ,-1.01276 -3.01669,-4.0762 -4.91809,0.116769 0.94868, ,1.08174 2.9389,-4.14091 -4.91756,0.0259803 0.967764, ,
-0.0317814 0.0146575,-0.0374242 1.01464,0.96256 1.02028, ,0.580599 10.4049,4.51688 9.69376,1.12646 2.17678, ,0.173622 -0.257232,4.16232 0.0432285,1.94263 2.88452, ,0.153427 -0.112181,-0.438805 9.87027,4.84854 5.17516, ,0.954275 1.06153,6.08 6.95448,1.99633 3.03994, ,-1.01275 -3.01649,-4.07633 -4.91767,0.117061 0.948798, ,1.08169 2.93871,-4.14134 -4.91749,0.0258336 0.96763, ,
-0.0321942 0.0147803,-0.0380334 1.01476,0.96195 1.0206, ,0.586717 10.4088,4.52203 9.69238,1.12144 2.17999, ,0.176312 -0.259982,4.16498 0.0408387,1.94503 2.88193, ,0.153434 -0.113712,-0.445301 9.86835,4.8451 5.17668, ,0.949571 1.06579,6.08471 6.95054,1.99479 3.04253, ,-1.01273 -3.01628,-4.07642 -4.91729,0.117296 0.948946, ,1.08151 2.93861,-4.1416 -4.91755,0.0256338 0.967537, ,
-0.0325963 0.0148982,-0.0386288 1.01488,0.961353 1.02091, ,0.592676 10.4127,4.52705 9.69111,1.11671 2.18315, ,0.178877 -0.26223,4.16762 0.0376639,1.94833 2.87927, ,0.153552 -0.11527,-0.451867 9.86639,4.84167 5.17827, ,0.943464 1.07112,6.09061 6.94537,1.99272 3.04572, ,-1.01271 -3.01606,-4.07647 -4.91695,0.117477 0.949122, ,1.08117 2.9386,-4.14164 -4.91775,0.0253723 0.967491, ,
-0.0329879 0.0150115,-0.0392103 1.01499,0.96077 1.02121, ,0.598484 10.4165,4.53196 9.68996,1.11224 2.18626, ,0.181528 -0.264213,4.17041 0.033842,1.95243 2.87647, ,0.153738 -0.116843,-0.458466 9.8644,4.83826 5.17988, ,0.935186 1.0781,6.09843 6.93822,1.98985 3.04982, ,-1.01268 -3.01583,-4.07649 -4.91664,0.117604 0.949327, ,1.08066 2.93871,-4.14143 -4.91812,0.0250366 0.967503, ,
-0.0333688 0.0151204,-0.0397774 1.0151,0.960202 1.02151, ,0.604151 10.4201,4.53675 9.68891,1.10801 2.18933, ,0.184422 -0.266482,4.17343 0.0298105,1.95671 2.87342, ,0.153987 -0.118429,-0.465094 9.86239,4.83486 5.18152, ,0.92333 1.08775,6.10958 6.92752,1.98574 3.05531, ,-1.01265 -3.01558,-4.07647 -4.91637,0.117674 0.949562, ,1.07991 2.93897,-4.1409 -4.91871,0.0246077 0.967587, ,
-0.0337388 0.0152253,-0.0403292 1.0152,0.959649 1.02179, ,0.60969 10.4237,4.54144 9.68796,1.104 2.19236, ,0.187127 -0.268535,4.17629 0.0256731,1.96105 2.87044, ,0.154331 -0.120037,-0.47178 9.86034,4.83147 5.18321, ,0.90849 1.09981,6.1244 6.91309,1.98091 3.06193, ,-1.01261 -3.01532,-4.07641 -4.91614,0.117681 0.94983, ,1.07915 2.93923,-4.14037 -4.91931,0.0241735 0.967674, ,
-0.0340983 0.0153269,-0.0408662 1.0153,0.959111 1.02207, ,0.615115 10.4273,4.54603 9.68709,1.10018 2.19535, ,0.189644 -0.270366,4.17898 0.0214599,1.96545 2.86755, ,0.15473 -0.121657,-0.478487 9.85827,4.82809 5.18492, ,0.893845 1.11183,6.13918 6.89858,1.9762 3.06849, ,-1.01255 -3.01505,-4.07631 -4.91595,0.11762 0.950135, ,1.07842 2.93947,-4.13989 -4.91988,0.0237504 0.96775, ,
-0.0344479 0.0154254,-0.0413888 1.0154,0.958587 1.02234, ,0.620428 10.4308,4.55054 9.68629,1.09654 2.19831, ,0.191994 -0.272005,4.18153 0.0171951,1.96986 2.86474, ,0.155153 -0.123279,-0.485189 9.8562,4.82472 5.18663, ,0.88018 1.12316,6.15291 6.88495,1.97181 3.07465, ,-1.01249 -3.01476,-4.07616 -4.91581,0.117494 0.950476, ,1.07773 2.93968,-4.13946 -4.9204,0.0233377 0.967817, ,
-0.0347883 0.015521,-0.0418974 1.0155,0.958077 1.0226, ,0.625631 10.4342,4.55496 9.68558,1.09308 2.20123, ,0.194201 -0.27348,4.18394 0.0128978,1.97428 2.86201, ,0.155577 -0.124898,-0.491865 9.85412,4.82137 5.18833, ,0.867444 1.13381,6.16566 6.87219,1.96771 3.08045, ,-1.01243 -3.01446,-4.07597 -4.9157,0.117309 0.950849, ,1.07706 2.93988,-4.13907 -4.9209,0.0229346 0.967875, ,
-0.03512 0.0156138,-0.0423924 1.01559,0.957581 1.02286, ,0.630727 10.4375,4.55929 9.68494,1.0898 2.20412, ,0.196281 -0.274816,4.18623 0.0085822,1.97871 2.85934, ,0.155987 -0.126509,-0.498502 9.85205,4.81802 5.19002, ,0.855532 1.14386,6.17752 6.86019,1.96387 3.08592, ,-1.01235 -3.01415,-4.07574 -4.91563,0.11707 0.951251, ,1.07642 2.94007,-4.13873 -4.92137,0.0225392 0.967925, ,
-0.0354438 0.015704,-0.0428741 1.01568,0.957098 1.02311, ,0.635717 10.4408,4.56354 9.68437,1.0867 2.20697, ,0.198251 -0.27603,4.18842 0.00425923,1.98312 2.85674, ,0.156372 -0.12811,-0.505092 9.84999,4.81469 5.19167, ,0.844358 1.15337,6.1886 6.84889,1.96026 3.09109, ,-1.01227 -3.01383,-4.07548 -4.9156,0.116781 0.951682, ,1.07579 2.94024,-4.13842 -4.92182,0.0221495 0.96797, ,
-0.03576 0.0157917,-0.0433427 1.01576,0.956629 1.02335, ,0.640604 10.4441,4.5677 9.68388,1.08377 2.20978, ,0.200122 -0.277136,4.19051 -6.28268e-05,1.98751 2.85419, ,0.156726 -0.129698,-0.511629 9.84794,4.81137 5.1933, ,0.833847 1.16238,6.19899 6.83823,1.95686 3.09598, ,-1.01218 -3.01349,-4.07519 -4.91559,0.116446 0.952137, ,1.07518 2.9404,-4.13813 -4.92226,0.0217636 0.968011, ,
-0.0360693 0.0158769,-0.0437986 1.01585,0.956172 1.02358, ,0.64539 10.4473,4.57179 9.68347,1.081 2.21256, ,0.201904 -0.278147,4.19252 -0.00437754,1.99189 2.8517, ,0.157045 -0.131273,-0.51811 9.84591,4.80806 5.1949, ,0.823939 1.17093,6.20874 6.82813,1.95366 3.10063, ,-1.01208 -3.01315,-4.07487 -4.91561,0.116068 0.952616, ,1.07458 2.94055,-4.13786 -4.92268,0.0213795 0.968048, ,
-0.0363721 0.0159597,-0.0442419 1.01593,0.955727 1.0238, ,0.650077 10.4504,4.5758 9.68312,1.07839 2.21531, ,0.203605 -0.279073,4.19446 -0.0086799,1.99624 2.84926, ,0.157327 -0.132835,-0.524534 9.84389,4.80476 5.19646, ,0.814579 1.17907,6.21792 6.81856,1.95063 3.10505, ,-1.01198 -3.01279,-4.07452 -4.91565,0.115652 0.953117, ,1.07398 2.9407,-4.1376 -4.9231,0.0209957 0.968085, ,
